电影名 类型 上映时间
['地球最后的夜晚'] ['剧情,爱情,悬疑'] ['2018-12-31大陆上映']
['狗十三'] ['剧情'] ['2018-12-07大陆上映']
['海王'] ['动作,冒险,奇幻'] ['2018-12-07大陆上映']
['毒液：致命守护者'] ['动作,惊悚,科幻'] ['2018-11-09大陆上映']
['龙猫'] ['动画,冒险,奇幻,家庭'] ['2018-12-14大陆上映']
['无敌破坏王2：大闹互联网'] ['喜剧,动画,冒险'] ['2018-11-23大陆上映']
['无名之辈'] ['剧情,喜剧,犯罪'] ['2018-11-16大陆上映']
['蜘蛛侠：平行宇宙'] ['动画,动作,科幻'] "['2018-12-21 09:00大陆上映']"
['大黄蜂'] ['动作,冒险,科幻'] ['2019-01-04大陆上映']
['憨豆特工3'] ['喜剧,动作,冒险'] ['2018-11-23大陆上映']
['中国蓝盔'] ['剧情,动作,战争'] ['2018-11-23大陆上映']
['网络谜踪'] ['剧情,悬疑,犯罪'] ['2018-12-14大陆上映']
['云南虫谷'] ['动作,冒险'] ['2018-12-29大陆上映']
['摘金奇缘'] ['喜剧,爱情'] ['2018-11-30大陆上映']
['天气预爆'] ['剧情,喜剧,奇幻'] ['2018-12-21大陆上映']
['绿毛怪格林奇'] ['喜剧,动画,家庭'] ['2018-12-14大陆上映']
['印度合伙人'] ['剧情,喜剧,爱情'] ['2018-12-14大陆上映']
['老爸102岁'] ['喜剧,剧情,家庭'] ['2018-11-30大陆上映']
['叶问外传：张天志'] ['动作'] ['2018-12-21大陆上映']
['午夜整容室'] ['恐怖,惊悚'] ['2018-12-14大陆上映']
['中国合伙人2'] ['剧情'] ['2018-12-18大陆上映']
['武林怪兽'] ['喜剧,动作,武侠'] ['2018-12-21大陆上映']
['二十岁'] ['剧情,喜剧'] ['2018-11-30大陆上映']
['恐龙王'] ['喜剧,动画,冒险'] ['2018-11-10大陆上映']
['冥王星时刻'] ['剧情'] ['2018-12-15大陆上映']
['恐怖快递'] ['恐怖,惊悚'] ['2018-11-23大陆上映']
['云上日出'] ['剧情,战争'] ['2018-12-11大陆上映']
['惊涛飓浪'] ['爱情,灾难'] ['2018-12-07大陆上映']
['照相师'] ['剧情'] ['2018-12-12大陆上映']
['一百年很长吗'] ['纪录片'] ['2018-12-01大陆上映']
电影名 类型 上映时间
['断片之险途夺宝'] ['喜剧,冒险'] ['2018-12-29大陆上映']
['三只小猪2'] ['动画'] ['2018-12-08大陆重映']
['进击的男孩'] ['剧情,爱情'] ['2018-12-07大陆上映']
['超时空大冒险'] ['动画,冒险,家庭'] ['2018-12-01大陆上映']
['最萌警探'] ['喜剧,动作'] ['2018-12-14大陆上映']
['黄大年'] ['剧情'] ['2018-12-12大陆上映']
['春天的马拉松'] ['剧情'] ['2018-12-14大陆上映']
['克隆人'] ['悬疑,科幻,犯罪'] ['2018-11-23大陆上映']
['冒牌搭档'] ['喜剧'] ['2018-11-30大陆上映']
['亡命救赎'] ['动作,犯罪'] ['2018-11-30大陆上映']
['闽宁镇'] ['剧情'] ['2018-12-06大陆上映']
['爱不可及'] ['爱情,悬疑'] ['2018-12-07大陆上映']
['两只小猪之勇闯神秘岛'] ['动画,冒险,家庭'] ['2018-12-30大陆上映']
['忠犬大营救'] ['剧情,爱情,犯罪'] ['2018-11-23大陆上映']
['龟兔大作战'] ['喜剧,动画,冒险'] ['2018-12-30大陆上映']
['淡蓝琥珀'] ['剧情,悬疑'] ['2018-12-17大陆上映']
['轻轻握住你的手'] ['剧情,爱情'] ['2018-12-14大陆上映']
['有五个姐姐的我就注定要单身了啊'] ['喜剧,爱情'] ['2018-11-16大陆上映']
['阿里巴巴三根金发'] ['喜剧,动画,冒险'] ['2018-12-30大陆上映']
['旗袍先生'] ['剧情'] ['2018-11-23大陆上映']
['敦煌不了情'] ['喜剧,爱情,冒险'] ['2018-12-07大陆上映']
['堡藏'] ['喜剧,惊悚,悬疑'] ['2018-12-14大陆上映']
['杨梅洲'] ['剧情,爱情,家庭'] ['2012-07-12大陆上映']
['家亦有道'] ['剧情,爱情'] ['2014-11-08大陆上映']
